Matricule,Dispo,Presel,Enga,Comp
1497,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODBRRS', 'CODEI', 'CODEMB', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OBSHORU', 'PHOTO']"
1500,[],[],[],"['CODBRRS', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'ECHEL', 'EOBVSAV', 'EQCELAR', 'EQCOD6P', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1509,[],[],[],"['ASTTRS', 'CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CGFDF', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFMOY', 'OFFPMA', 'OFFRAMA', 'OFFRENS']"
1510,[],[],[],"['CODBRRS', 'CODEI', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1516,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CODBRRS', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQCELAR', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFGEST', 'OFFPMA', 'OFFRAMA', 'SAV1']"
1519,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1524,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1526,[],[],[],"['CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1528,[],[],[],"['CAVSAV', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQVSAV']"
1540,[],[],[],"['CAINCTE', 'CAMEA', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'ECHEL', 'EOBVSAV', 'EQCOD6P', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1544,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1549,[],[],[],"['CODEMB', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQCELAR', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1550,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CECELAR', 'CEINC', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQCELAR', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM']"
1561,[],[],[],"['CODVLR', 'MED']"
1563,[],[],[],"['CODBRRS', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR']"
1566,[],[],[],"['CODVLR', 'CODVSAV', 'EOBVSAV', 'EQVSAV', 'INF', 'INFSSO', 'OFFSAN', 'SAUVIMP']"
1569,[],[],[],"['CAFDF', 'CAINCTE', 'CAMEA', 'CAOPD', 'CAVSAV', 'CAVSR', 'CC', 'CEINC', 'CG', 'CGFDF', 'CODBRRS', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'ECHEL', 'EOBVSAV', 'EQCOD6P', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFACTI', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFMOY', 'OFFPMA', 'OFFRAMA', 'OFFRENS']"
1575,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1577,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODBRRS', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'PHOTO']"
1587,[],[],[],"['CAOPD', 'CEINC', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1595,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CGFDF', 'CODBRRS', 'CODEMB', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFEVAC', 'OFFGEST', 'OFFPMA', 'OFFRAMA']"
1612,[],[],[],"['CAFDF', 'CAINCTE', 'CAMEA', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CGFDF', 'CODEMB', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQCOD6P', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFMOY', 'OFFPMA', 'OFFRAMA', 'OFFRENS']"
1619,[],[],[],['PHARM']
1621,[],[],[],['CEINC']
1622,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
